RightID, Right x, Right y, Right z, LeftID, Left x, Left y, Left z
, , , , 0, -31.9271, 19.0132, 55.9817
, , , , 1, -40.3454, 14.5001, 57.1495
, , , , 2, -48.7637, 9.98706, 58.3172
, , , , 3, -57.1247, 5.34414, 59.7122
, , , , 4, -65.9102, 1.66306, 59.4247
, , , , 5, -75.0257, -1.27033, 57.8294
, , , , 30, -25.0331, 15.1863, 50.4755
, , , , 31, -32.9857, 9.61804, 53.4889
, , , , 32, -41.404, 5.10502, 54.6567
, , , , 33, -49.8223, 0.59194, 55.8244
, , , , 34, -58.5438, -3.23407, 55.7905
, , , , 35, -67.6931, -6.09076, 54.061
, , , , 6, -76.9123, -8.78927, 52.0549
, , , , 29, -18.3042, 11.7337, 44.3146
, , , , 55, -26.0009, 5.58557, 48.3423
, , , , 56, -34.0442, 0.222927, 50.9961
, , , , 57, -42.7943, -3.53842, 50.849
, , , , 58, -51.5616, -7.26071, 50.6336
, , , , 59, -60.3462, -10.9438, 50.3497
, , , , 36, -69.5742, -13.6222, 48.3083
, , , , 7, -78.7989, -16.3082, 46.2804
, , , , 28, -11.3316, 7.72879, 39.1197
, , , , 54, -19.0655, 1.66496, 43.0
, , , , 74, -27.1356, -3.63699, 45.5477
, , , , 75, -35.7744, -7.6505, 45.8416
, , , , 76, -44.5794, -11.2873, 45.4767
, , , , 77, -53.3467, -15.0096, 45.2614
, , , , 60, -62.2251, -18.4802, 44.6057
, , , , 37, -71.4531, -21.1586, 42.5643
, , , , 8, -80.6812, -23.837, 40.5229
, , , , 27, -4.35808, 3.72183, 33.9285
, , , , 53, -12.271, -1.93639, 37.0992
, , , , 73, -20.4684, -6.95, 39.1425
, , , , 87, -28.6657, -11.9636, 41.1858
, , , , 88, -37.4312, -15.6902, 40.9779
, , , , 89, -46.307, -19.1665, 40.3323
, , , , 78, -55.1318, -22.7586, 39.8891
, , , , 61, -64.104, -26.0166, 38.8616
, , , , 38, -73.332, -28.6949, 36.8202
, , , , 9, -82.5229, -31.4574, 34.926
, , , , 26, 2.68111, -0.433912, 28.9974
, , , , 52, -5.60371, -5.2494, 30.6942
, , , , 72, -13.8011, -10.263, 32.7374
, , , , 86, -21.9985, -15.2766, 34.7807
, , , , 94, -30.2121, -20.2534, 36.7597
, , , , 95, -39.0879, -23.7298, 36.1142
, , , , 90, -47.9638, -27.2062, 35.4686
, , , , 79, -56.8366, -30.6894, 34.835
, , , , 62, -65.8869, -33.7706, 33.4983
, , , , 39, -75.0425, -36.613, 31.7439
, , , , 10, -84.1981, -39.4554, 29.9894
, , , , 25, 1.54119, -9.64468, 26.1821
, , , , 51, -6.78967, -14.3559, 27.6964
, , , , 71, -15.1572, -18.9841, 29.0656
, , , , 85, -23.5247, -23.6122, 30.4347
, , , , 93, -31.8689, -28.2931, 31.896
, , , , 92, -40.7369, -31.7872, 31.2815
, , , , 91, -49.5973, -35.2985, 30.697
, , , , 80, -58.4578, -38.8098, 30.1125
, , , , 63, -67.562, -41.7686, 28.5617
, , , , 40, -76.7176, -44.611, 26.8073
, , , , 11, -85.8733, -47.4535, 25.0529
, , , , 24, 0.401268, -18.8554, 23.3668
, , , , 50, -7.95667, -23.5052, 24.7737
, , , , 70, -16.3242, -28.1334, 26.1429
, , , , 84, -24.7539, -32.6205, 27.2652
, , , , 83, -33.4249, -36.5611, 27.4317
, , , , 82, -42.358, -39.9076, 26.559
, , , , 81, -51.2185, -43.4189, 25.9745
, , , , 64, -60.0815, -46.9242, 25.3796
, , , , 41, -69.2372, -49.7666, 23.6251
, , , , 12, -78.3928, -52.609, 21.8707
, , , , 23, -0.756191, -28.0264, 20.4819
, , , , 49, -9.18356, -32.5189, 21.6138
, , , , 69, -17.6554, -36.9106, 22.5692
, , , , 68, -26.1273, -41.3023, 23.5246
, , , , 67, -34.883, -45.0509, 23.3553
, , , , 66, -43.8776, -48.2582, 22.239
, , , , 65, -52.8396, -51.5393, 21.252
, , , , 42, -61.7567, -54.9222, 20.443
, , , , 13, -70.9124, -57.7646, 18.6886
, , , , 22, -1.68131, -37.7239, 18.518
, , , , 48, -10.5019, -41.3254, 18.0913
, , , , 47, -19.0288, -45.5924, 18.8287
, , , , 46, -27.5007, -49.9841, 19.7841
, , , , 45, -36.3411, -53.5407, 19.2789
, , , , 44, -45.3357, -56.748, 18.1626
, , , , 43, -54.3303, -59.9552, 17.0463
, , , , 14, -63.0607, -63.7612, 16.9774
, , , , 21, -2.43005, -47.821, 17.253
, , , , 20, -11.2507, -51.4225, 16.8263
, , , , 19, -20.0713, -55.024, 16.3996
, , , , 18, -28.8741, -58.6658, 16.0436
, , , , 17, -37.6062, -62.468, 15.9678
, , , , 16, -46.2957, -66.3663, 16.0603
, , , , 15, -54.9854, -70.2646, 16.1527
